# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-13 14:18:58 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06711565 SOUTH PLATTE RIVER AT ENGLEWOOD, CO.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06711565
#            TS   parameter     Description
#        210920       00060     Discharge, cubic feet per second
#        210922       00010     Temperature, water, degrees Celsius
#        210924       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#        210925       00400     pH, water, unfiltered, field, standard units
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	210920_00060	210920_00060_cd	210922_00010	210922_00010_cd	210924_00300	210924_00300_cd	210925_00400	210925_00400_cd
USGS	06711565	2021-03-12 10:00	MST	44.5	P	6.7	P	9.2	P	7.9	P
USGS	06711565	2021-03-12 10:15	MST	44.5	P	6.7	P	9.4	P	7.9	P
USGS	06711565	2021-03-12 10:30	MST	44.5	P	6.7	P	9.6	P	7.9	P
USGS	06711565	2021-03-12 10:45	MST	44.5	P	6.8	P	9.8	P	7.9	P
USGS	06711565	2021-03-12 11:00	MST	44.5	P	6.8	P	10.0	P	7.9	P
USGS	06711565	2021-03-12 11:15	MST	44.5	P	6.9	P	10.3	P	7.9	P
USGS	06711565	2021-03-12 11:30	MST	42.6	P	6.9	P	10.4	P	8.0	P
USGS	06711565	2021-03-12 11:45	MST	42.6	P	7.0	P	10.6	P	8.0	P
USGS	06711565	2021-03-12 12:00	MST	42.6	P	7.0	P	10.9	P	8.0	P
USGS	06711565	2021-03-12 12:15	MST	42.6	P	7.1	P	11.1	P	8.0	P
USGS	06711565	2021-03-12 12:30	MST	42.6	P	7.2	P	11.2	P	8.0	P
USGS	06711565	2021-03-12 12:45	MST	42.6	P	7.3	P	11.4	P	8.0	P
USGS	06711565	2021-03-12 13:00	MST	40.8	P	7.4	P	11.6	P	8.1	P
USGS	06711565	2021-03-12 13:15	MST	40.8	P	7.5	P	11.8	P	8.1	P
USGS	06711565	2021-03-12 13:30	MST	40.8	P	7.6	P	11.9	P	8.1	P
USGS	06711565	2021-03-12 13:45	MST	40.8	P	7.7	P	12.1	P	8.1	P
USGS	06711565	2021-03-12 14:00	MST	40.8	P	7.9	P	12.2	P	8.1	P
USGS	06711565	2021-03-12 14:15	MST	40.8	P	8.0	P	12.4	P	8.1	P
USGS	06711565	2021-03-12 14:30	MST	39.0	P	8.1	P	12.7	P	8.2	P
USGS	06711565	2021-03-12 14:45	MST	39.0	P	8.3	P	12.8	P	8.2	P
USGS	06711565	2021-03-12 15:00	MST	39.0	P	8.4	P	12.9	P	8.2	P
USGS	06711565	2021-03-12 15:15	MST	39.0	P	8.4	P	13.0	P	8.2	P
USGS	06711565	2021-03-12 15:30	MST	39.0	P	8.5	P	13.1	P	8.2	P
USGS	06711565	2021-03-12 15:45	MST	39.0	P	8.5	P	13.1	P	8.2	P
USGS	06711565	2021-03-12 16:00	MST	39.0	P	8.5	P	13.1	P	8.2	P
USGS	06711565	2021-03-12 16:15	MST	40.8	P	8.5	P	13.1	P	8.2	P
USGS	06711565	2021-03-12 16:30	MST	40.8	P	8.5	P	12.9	P	8.2	P
USGS	06711565	2021-03-12 16:45	MST	40.8	P	8.4	P	12.7	P	8.2	P
USGS	06711565	2021-03-12 17:00	MST	40.8	P	8.4	P	12.5	P	8.2	P
USGS	06711565	2021-03-12 17:15	MST	40.8	P	8.4	P	12.2	P	8.1	P
USGS	06711565	2021-03-12 17:30	MST	42.6	P	8.4	P	12.0	P	8.1	P
USGS	06711565	2021-03-12 17:45	MST	42.6	P	8.4	P	11.8	P	8.1	P
USGS	06711565	2021-03-12 18:00	MST	42.6	P	8.3	P	11.5	P	8.1	P
USGS	06711565	2021-03-12 18:15	MST	44.5	P	8.3	P	11.3	P	8.0	P
USGS	06711565	2021-03-12 18:30	MST	44.5	P	8.3	P	11.1	P	8.0	P
USGS	06711565	2021-03-12 18:45	MST	44.5	P	8.3	P	11.0	P	8.0	P
USGS	06711565	2021-03-12 19:00	MST	44.5	P	8.3	P	10.9	P	8.0	P
USGS	06711565	2021-03-12 19:15	MST	44.5	P	8.3	P	10.7	P	8.0	P
USGS	06711565	2021-03-12 19:30	MST	46.5	P	8.2	P	10.6	P	8.0	P
USGS	06711565	2021-03-12 19:45	MST	46.5	P	8.2	P	10.4	P	8.0	P
USGS	06711565	2021-03-12 20:00	MST	46.5	P	8.2	P	10.3	P	8.0	P
USGS	06711565	2021-03-12 20:15	MST	46.5	P	8.1	P	10.2	P	7.9	P
USGS	06711565	2021-03-12 20:30	MST	46.5	P	8.1	P	10.0	P	7.9	P
USGS	06711565	2021-03-12 20:45	MST	46.5	P	8.0	P	9.9	P	7.9	P
USGS	06711565	2021-03-12 21:00	MST	46.5	P	8.0	P	9.8	P	7.9	P
USGS	06711565	2021-03-12 21:15	MST	46.5	P	8.0	P	9.6	P	7.9	P
USGS	06711565	2021-03-12 21:30	MST	46.5	P	7.9	P	9.5	P	7.9	P
USGS	06711565	2021-03-12 21:45	MST	46.5	P	7.9	P	9.4	P	7.9	P
USGS	06711565	2021-03-12 22:00	MST	46.5	P	7.8	P	9.2	P	7.9	P
USGS	06711565	2021-03-12 22:15	MST	46.5	P	7.8	P	9.1	P	7.9	P
USGS	06711565	2021-03-12 22:30	MST	46.5	P	7.8	P	9.0	P	7.9	P
USGS	06711565	2021-03-12 22:45	MST	44.5	P	7.8	P	8.9	P	7.9	P
USGS	06711565	2021-03-12 23:00	MST	44.5	P	7.7	P	8.9	P	7.9	P
USGS	06711565	2021-03-12 23:15	MST	44.5	P	7.7	P	8.8	P	7.9	P
USGS	06711565	2021-03-12 23:30	MST	44.5	P	7.7	P	8.7	P	7.9	P
USGS	06711565	2021-03-12 23:45	MST	44.5	P	7.7	P	8.6	P	8.0	P
USGS	06711565	2021-03-13 00:00	MST	44.5	P	7.7	P	8.6	P	8.0	P
USGS	06711565	2021-03-13 00:15	MST	44.5	P	7.7	P	8.6	P	8.0	P
USGS	06711565	2021-03-13 00:30	MST	44.5	P	7.7	P	8.5	P	8.0	P
USGS	06711565	2021-03-13 00:45	MST	44.5	P	7.7	P	8.5	P	8.0	P
USGS	06711565	2021-03-13 01:00	MST	44.5	P	7.7	P	8.4	P	8.0	P
USGS	06711565	2021-03-13 01:15	MST	44.5	P	7.7	P	8.4	P	8.0	P
USGS	06711565	2021-03-13 01:30	MST	44.5	P	7.7	P	8.4	P	8.0	P
USGS	06711565	2021-03-13 01:45	MST	44.5	P	7.7	P	8.3	P	8.0	P
USGS	06711565	2021-03-13 02:00	MST	44.5	P	7.7	P	8.3	P	8.0	P
USGS	06711565	2021-03-13 02:15	MST	44.5	P	7.7	P	8.3	P	8.0	P
USGS	06711565	2021-03-13 02:30	MST	44.5	P	7.7	P	8.3	P	8.0	P
USGS	06711565	2021-03-13 02:45	MST	44.5	P	7.6	P	8.2	P	8.0	P
USGS	06711565	2021-03-13 03:00	MST	44.5	P	7.6	P	8.2	P	8.0	P
USGS	06711565	2021-03-13 03:15	MST	44.5	P	7.6	P	8.2	P	8.0	P
USGS	06711565	2021-03-13 03:30	MST	44.5	P	7.6	P	8.2	P	8.0	P
USGS	06711565	2021-03-13 03:45	MST	44.5	P	7.6	P	8.2	P	8.0	P
USGS	06711565	2021-03-13 04:00	MST	44.5	P	7.5	P	8.2	P	8.0	P
USGS	06711565	2021-03-13 04:15	MST	46.5	P	7.5	P	8.2	P	8.0	P
USGS	06711565	2021-03-13 04:30	MST	46.5	P	7.5	P	8.2	P	8.0	P
USGS	06711565	2021-03-13 04:45	MST	46.5	P	7.4	P	8.2	P	8.0	P
USGS	06711565	2021-03-13 05:00	MST	46.5	P	7.4	P	8.2	P	8.0	P
USGS	06711565	2021-03-13 05:15	MST	46.5	P	7.4	P	8.2	P	8.0	P
USGS	06711565	2021-03-13 05:30	MST	46.5	P	7.3	P	8.2	P	7.9	P
USGS	06711565	2021-03-13 05:45	MST	46.5	P	7.3	P	8.2	P	7.9	P
USGS	06711565	2021-03-13 06:00	MST	46.5	P	7.2	P	8.2	P	7.9	P
USGS	06711565	2021-03-13 06:15	MST	46.5	P	7.2	P	8.2	P	7.9	P
USGS	06711565	2021-03-13 06:30	MST	46.5	P	7.1	P	8.2	P	7.9	P
USGS	06711565	2021-03-13 06:45	MST	46.5	P	7.1	P	8.2	P	7.9	P
USGS	06711565	2021-03-13 07:00	MST	46.5	P			8.2	P	7.9	P
USGS	06711565	2021-03-13 07:15	MST	46.5	P	7.0	P	8.3	P	7.9	P
USGS	06711565	2021-03-13 07:30	MST	46.5	P	7.0	P	8.3	P	7.8	P
USGS	06711565	2021-03-13 07:45	MST	46.5	P	6.9	P	8.4	P	7.8	P
USGS	06711565	2021-03-13 08:00	MST	46.5	P	6.9	P	8.4	P	7.8	P
USGS	06711565	2021-03-13 08:15	MST	46.5	P	6.9	P	8.5	P	7.8	P
USGS	06711565	2021-03-13 08:30	MST	46.5	P	6.9	P	8.6	P	7.8	P
USGS	06711565	2021-03-13 08:45	MST	46.5	P	6.8	P	8.8	P	7.8	P
USGS	06711565	2021-03-13 09:00	MST	46.5	P	6.8	P	8.9	P	7.8	P
USGS	06711565	2021-03-13 09:15	MST	46.5	P	6.8	P	9.0	P	7.9	P
USGS	06711565	2021-03-13 09:30	MST	46.5	P	6.8	P	9.1	P	7.9	P
USGS	06711565	2021-03-13 09:45	MST	46.5	P	6.8	P	9.2	P	7.9	P
USGS	06711565	2021-03-13 10:00	MST	46.5	P	6.8	P	9.3	P	7.9	P
USGS	06711565	2021-03-13 10:15	MST	44.5	P	6.8	P	9.4	P	7.9	P
USGS	06711565	2021-03-13 10:30	MST	44.5	P	6.8	P	9.6	P	7.9	P
USGS	06711565	2021-03-13 10:45	MST	44.5	P	6.7	P	9.6	P	7.9	P
USGS	06711565	2021-03-13 11:00	MST	42.6	P	6.7	P	9.7	P	7.9	P
USGS	06711565	2021-03-13 11:15	MST	42.6	P	6.7	P	9.8	P	7.9	P
USGS	06711565	2021-03-13 11:30	MST	42.6	P	6.7	P	9.9	P	7.9	P
USGS	06711565	2021-03-13 11:45	MST	42.6	P	6.7	P	10.2	P	7.9	P
USGS	06711565	2021-03-13 12:00	MST	46.5	P	6.7	P	10.3	P	7.9	P
USGS	06711565	2021-03-13 12:15	MST			6.6	P	10.3	P	7.9	P
